Label,Tree #,Height (cm),Leaf Spot,Canker #,Disease Severity,Cankers/cm
WV94_R_2-1,1,20,Y,0,1,0
353_R_22,1,46,N,0,1,0
353_8_31,1,40,N,0,1,0
T61_WT,1,21,Y,6,4,0.285714286
353_8_41,1,65,N,3,4,0.046153846
353_R_32,1,36,Y,0,1,0
717_E_16,1,35,Y,0,1,0
WV94_8_1-2,1,26,N,1,3,0.038461538
T61_R_24-2,1,20,Y,0,1,0
353_8_37,1,37,Y,0,1,0
353_E_25,1,68,N,1,3,0.014705882
353_E_15,1,72,N,0,1,0
T61_E_19-1,1,39,Y,2,4,0.051282051
353_E_28,1,52,N,1,3,0.019230769
353_8_33,1,61,Y,1,4,0.016393443
WV94_WT,2,21,Y,0,1,0
T61_E_14-1,1,39,N,0,1,0
717_WT,WRONG TREE,WRONG TREE,WRONG TREE,WRONG TREE,WRONG TREE,#VALUE!
WV94_E_1-1,1,25,N,0,1,0
353_E_4,1,41,N,0,1,0
353_8_2,1,39,N,0,1,0
353_R_61,1,19,Y,0,1,0
WV94_R_1-2,1,16,N,0,1,0
353_WT,2,63,N,1,3,0.015873016
353_R_53,1,63,N,1,4,0.015873016
353_R_27,1,27,N,0,1,0
